IE_XML_ID;IE_NAME;IP_PROP228;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_PRICE_1;CV_CURRENCY_1
26427250;Струйная трубка Vario Power 145 Full Con;2.642-725.0;281;100;500;50;2407.00;RUB
28839940;Набор запасных частей набор уплотнителей;2.883-994.0;0;;;;0.00;RUB
28850030;Набор запасных частей pотор нейтральный;2.885-003.0;0;;;;0.00;RUB
26428890;Распылитель G 180 Q;2.642-889.0;508;165;600;45;2298.00;RUB
53324640;Пружина сжатия;5.332-464.0;4;19;19;27;28.00;RUB
26417210;Шланг высокого давления 9/160;2.641-721.0;965;255;286;75;3781.00;RUB
63634100;Кольцо круглого сечения 5,7x1,78 NBR 90;6.363-410.0;1;10;1;10;28.00;RUB
26407290;Комплект колец круглого сечения;2.640-729.0;25;125;200;30;825.00;RUB
90124830;Роторная форсунка 033 CEM max.14MPa;9.012-483.0;166;60;40;470;0.00;RUB
63898700;"Соединительный элемент 3/4""";6.389-870.0;7;32;32;40;114.00;RUB
47605340;Регулируемая струйная трубка K3 0287;4.760-534.0;274;50;40;470;0.00;RUB
90862210;Винт ATF 4.1x22;9.086-221.0;2;2;2;25;28.00;RUB
90862030;Винт 4x22;9.086-203.0;2;20;7;40;38.00;RUB
44700410;Быстроразъемная муфта высокого давления;4.470-041.0;67;46;46;57;385.00;RUB
90804550;Уплотнение 10x2,8;9.080-455.0;1;16;2;16;47.00;RUB
90011100;Фасонный элемент в сборе;9.001-110.0;4;40;10;60;649.00;RUB
63628750;Кольцо с проточкой диам. 12 x 20 x 5;6.362-875.0;1;21;5;21;148.00;RUB
90384280;Кольцо 6,7 мм;9.038-428.0;3;24;17;24;60.00;RUB
64650310;Соединительный элемент 3/4;6.465-031.0;7;32;32;38;161.00;RUB
90018190;Кожух в сборе;9.001-819.0;3;70;13;110;0.00;RUB
90780150;Кольцо с проточкой;9.078-015.0;2;20;6;20;148.00;RUB
90480710;Прокладка;9.048-071.0;3;15;5;20;53.00;RUB
90019270;Поршень компл.;9.001-927.0;66;70;30;100;1385.00;RUB
90862050;Винт;9.086-205.0;11;17;17;20;60.00;RUB
74010100;Шарикоподшипник 6303-St DIN 625;7.401-010.0;113;80;15;100;387.00;RUB
69640920;Thermoplex ALN VP2 Текучая смазка(50 мл);6.964-092.0;53;35;20;150;397.00;RUB
90019180;Крышка кожуха мотора в сборе;9.001-918.0;325;150;130;160;2802.00;RUB
90804530;Уплотнительное кольцо 95x6;9.080-453.0;11;105;6;105;228.00;RUB
47642810;Грязевая фреза;4.764-281.0;170;45;45;455;3879.00;RUB
26405890;Продольная щетка;2.640-589.0;419;140;125;480;0.00;RUB
26432400;1-ступенчатая удлинительная трубка 0,4 м;2.643-240.0;304;62;62;500;1126.00;RUB
63710860;Щёточная полоска;6.371-086.0;110;280;25;280;605.00;RUB
53948650;Решетка T 250 Plus;5.394-865.0;0;;;;0.00;RUB
28839630;Коренная шейка комплектный;2.883-963.0;0;;;;0.00;RUB
26433380;Запчасти к насадкам T-Racer;2.643-338.0;28;30;90;125;686.00;RUB
28851820;Набор запасных частей pотор T 250 plus;2.885-182.0;0;;;;0.00;RUB
53101600;Гайка Керхер;5.310-160.0;25;43;55;43;81.00;RUB
73432060;Стопорная шайба 12;7.343-206.0;2;20;2;23;53.00;RUB
47641550;Форсунка комплектный 15015;4.764-155.0;0;;;;0.00;RUB
47641560;Форсунка комплектный 15020;4.764-156.0;0;;;;0.00;RUB
47641900;Форсунка kpl. 75047;4.764-190.0;2;18;18;20;303.00;RUB
50371510;Скоба;5.037-151.0;2;15;3;15;53.00;RUB
47604950;Струйная трубка;4.760-495.0;211;35;35;480;923.00;RUB
47606880;Струйная трубка PS;4.760-688.0;232;40;40;440;0.00;RUB
54711050;Муфта удлиненной струйной трубки;5.471-105.0;18;20;20;98;114.00;RUB
63211600;Pучка пеноматериал;6.321-160.0;0;;;;372.00;RUB
53946610;Защитная деталь;5.394-661.0;0;;;;302.00;RUB
53948730;Защитная решетка T 400 Plus;5.394-873.0;111;287;287;23;381.00;RUB
28850470;Набор уплотнителей T 400;2.885-047.0;0;;;;0.00;RUB
28850480;Набор запасных частей Rotor T 400;2.885-048.0;0;;;;2910.00;RUB
26418480;Сопло для пенной чистки упаков. 0,3 л;2.641-848.0;43000;265;90;265;0.00;RUB
50714500;Емкость 1л;5.071-450.0;80;100;100;210;248.00;RUB
90850950;Конденсатор 32uF;9.085-095.0;143;80;50;150;997.00;RUB
90850860;Конденсатор WCM 35uF;9.085-086.0;146;45;45;110;974.00;RUB
